DL
N=62
TITLE = "MACAQUE_MONKEY"
FORMAT = FULLMATRIX DIAGONAL PRESENT
LABELS:
"Mi63","Mi6369","Mino","Ko62"
"Co65","Op60","Yun","Chonpe","Ch69","Ch67","Ch65","Ch64"
"Opress","Op6067","Op70","Op6065","Op67","Op6268"
"Gl64","Gl6469","Glance","Kusha","K60","Gl60","Gl67","K5969"
"K5964","Ra59","Ra60","Ra65","Ra64","Ra58","Ra5866","Mo67"
"Sh62","Sh6269","Sh6267","Sh60","Sh6069","Sh6068","Mo61"
"Mo6170","Mo59","Ai59","Ai61","Ai6170","Ai6166","Gl60","Gl6068"
"S60","S6067","S6065","S59","S5966","S5968"
"Bl59","Bl5969","Bl5964","Bl5870","Bl5863","Bl586370"
"Me62"
DATA:
 0 1 1 0 6 2 0 1 2 1 3 2 5 2 2 1 2 3 1 1 0 1 0 0 0 0 0 2 1 1 0 0 0 1 5 2 3 2 3 0 2 1 1 0 0 0 0 0 0 0 3 0 0 1 0 0 1 1 0 0 0 0
 0 0 0 1 8 1 2 1 4 2 3 0 3 2 4 4 1 2 0 1 1 2 0 0 1 2 1 2 1 1 0 0 0 4 1 0 0 0 0 1 0 0 1 1 0 0 0 0 2 1 0 0 1 0 1 0 1 0 0 0 0 0
 0 0 0 1 5 3 4 5 1 1 0 0 5 6 0 5 0 2 1 1 1 0 0 0 0 1 0 0 3 1 0 0 0 2 0 1 0 1 1 0 2 1 0 0 0 1 1 0 0 0 0 0 1 3 1 0 2 1 0 0 0 0
 0 0 0 0 1 2 8 0 1 9 1 6 1 0 3 4 2 6 0 1 0 0 1 0 0 1 3 1 8 1 1 0 3 0 0 1 1 1 0 0 0 0 0 1 0 0 0 1 2 2 1 0 1 5 3 3 0 0 1 0 0 0
 0 0 0 0 0 4 4 3 1 6 7 1 3 3 3 5 0 2 2 2 0 0 2 2 4 1 2 0 1 0 4 0 0 3 0 3 1 2 1 0 1 0 2 0 0 0 2 0 0 3 0 0 1 0 0 1 0 3 2 1 0 1
 0 0 0 0 0 0 4 0 1 1 1 2 0 2 2 2 5 2 0 4 1 2 3 5 6 2 1 1 2 2 4 2 0 4 1 1 2 3 1 2 1 1 3 2 1 0 1 1 4 1 0 2 0 2 1 3 1 4 3 0 0 1
 0 0 0 0 0 1 0 2 1 3 3 1 1 4 1 1 5 3 2 4 3 1 1 5 1 1 1 0 0 1 1 1 0 1 1 4 3 2 1 1 4 3 0 1 3 0 1 0 0 5 0 0 2 6 2 2 1 4 1 1 1 1
 0 0 0 0 0 0 0 0 3 2 1 3 3 1 3 1 3 3 0 0 1 1 0 2 2 2 1 0 1 1 0 0 0 0 1 2 1 0 0 0 1 0 0 0 0 2 1 0 0 0 0 2 0 2 0 2 2 2 0 0 1 0
 0 0 0 0 0 0 0 0 0 4 5 0 0 0 3 1 1 2 0 1 0 0 3 0 0 2 0 0 1 1 1 0 0 1 1 0 4 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 2 1 0 0 0 1 0 0 1
 0 0 0 0 0 2 0 0 0 0 3 1 4 1 2 3 3 4 0 4 1 1 1 2 0 1 1 0 4 1 2 3 0 4 1 2 2 3 1 1 2 0 1 3 0 0 2 0 0 0 0 0 0 3 1 1 1 1 1 0 0 0
