DL
N=17
TITLE = "KANGAROO.dat"
FORMAT = FULLMATRIX DIAGONAL PRESENT
LABELS:
"F1","F2","F3","F4","F5","M1","M2","M3","M4","M5","M6"
"M7","M8","M9","M10","M12","M13"

DATA:
  1 21 10 45 54  7 16  1  3  4  7  0  3  0  2  3  3
 21  5  9 19 20  3  9  1 10  4 11  0  2  0  2  2  6
 10  9 10  8 10  3  5  1  9  4 10  0  0  2  0  0  3
 45 19  8  4 45  7 17  1  1  3  6  0  3  0  2  3  4
 54 20 10 45  0  6 17  1  3  4  6  0  1  1  2  3  3
  7  3  3  7  6 15  4  1  2  2  3  0  3  0  3  1  4
 16  9  5 17 17  4  2  1  0  0  5  0  3  0  1  3  3
  1  1  1  1  1  1  1  0  1  1  1  0  1  0  0  0  0
  3 10  9  1  3  2  0  1  8  6  9  1  1  0  0  0  2
  4  4  4  3  4  2  0  1  6  2  8  0  1  0  0  0  0
  7 11 10  6  6  3  5  1  9  8 16  0  1  0  2  0  5
  0  0  0  0  0  0  0  0  1  0  0  9  0  0  0  0  0
  3  2  0  3  1  3  3  1  1  1  1  0  5  0  0  0  0
  0  0  2  0  1  0  0  0  0  0  0  0  0 20  0  0  0
  2  2  0  2  2  3  1  0  0  0  2  0  0  0  3  1  3
  3  2  0  3  3  1  3  0  0  0  0  0  0  0  1  2  1
  3  6  3  4  3  4  3  0  2  0  5  0  0  0  3  1  0
